time,tempm,hum,wspdm,pressurem,windchillm,fog,rain,snow,hail,thunder,merge_id_w
2015-01-01 00:00:00,-12,85,5.6,1037,-15.5,0,0,0,0,0,20150101000000
2015-01-01 00:30:00,-11,85,3.7,1036,-13,0,0,0,0,0,20150101003000
2015-01-01 01:00:00,-10,86,3.7,1036,-12,0,0,0,0,0,20150101010000
2015-01-01 01:30:00,-10,86,0,1036,-12,0,0,0,0,0,20150101013000
2015-01-01 02:00:00,-9,79,0,1036,-11,0,0,0,0,0,20150101020000
2015-01-01 02:30:00,-8,79,3.7,1036,-10,0,0,0,0,0,20150101023000
2015-01-01 03:00:00,-7,74,9.3,1036,-11.4,0,0,0,0,0,20150101030000
2015-01-01 03:30:00,-7,74,11.1,1036,-12,0,0,0,0,0,20150101033000
2015-01-01 04:00:00,-7,74,11.1,1035,-12,0,0,0,0,0,20150101040000
2015-01-01 04:30:00,-7,74,11.1,1035,-12,0,0,0,0,0,20150101043000
2015-01-01 05:00:00,-7,74,13,1035,-12.5,0,0,0,0,0,20150101050000
2015-01-01 05:30:00,-6,68,11.1,1035,-10.8,0,0,0,0,0,20150101053000
2015-01-01 06:00:00,-6,74,11.1,1034,-10.8,0,0,0,0,0,20150101060000
2015-01-01 06:30:00,-6,74,9.3,1035,-10.2,0,0,0,0,0,20150101063000
2015-01-01 07:00:00,-6,74,7.4,1035,-9.5,0,0,0,0,0,20150101070000
2015-01-01 07:30:00,-6,74,9.3,1034,-10.2,0,0,0,0,0,20150101073000
2015-01-01 08:00:00,-6,74,7.4,1035,-9.5,0,0,0,0,0,20150101080000
2015-01-01 08:30:00,-5,68,9.3,1035,-9,0,0,0,0,0,20150101083000
2015-01-01 09:00:00,-5,68,9.3,1035,-9,0,0,0,0,0,20150101090000
2015-01-01 09:30:00,-5,68,11.1,1035,-9.6,0,0,0,0,0,20150101093000
2015-01-01 10:00:00,-5,68,9.3,1035,-9,0,0,0,0,0,20150101100000
2015-01-01 10:30:00,-4,64,11.1,1035,-8.4,0,0,0,0,0,20150101103000
2015-01-01 11:00:00,-4,64,11.1,1035,-8.4,0,0,0,0,0,20150101110000
2015-01-01 11:30:00,-4,69,9.3,1035,-7.8,0,0,0,0,0,20150101113000
2015-01-01 12:00:00,-3,64,9.3,1034,-6.7,0,0,0,0,0,20150101120000
2015-01-01 12:30:00,-3,64,9.3,1034,-6.7,0,0,0,0,0,20150101123000
2015-01-01 13:00:00,-3,64,7.4,1034,-6,0,0,0,0,0,20150101130000
2015-01-01 13:30:00,-3,64,7.4,1034,-6,0,0,0,0,0,20150101133000
2015-01-01 14:00:00,-3,64,9.3,1034,-6.7,0,0,0,0,0,20150101140000
2015-01-01 14:30:00,-3,64,7.4,1034,-6,0,0,0,0,0,20150101143000
2015-01-01 15:00:00,-3,64,7.4,1034,-6,0,0,0,0,0,20150101150000
2015-01-01 15:30:00,-3,69,7.4,1034,-6,0,0,1,0,0,20150101153000
2015-01-01 16:00:00,-3,69,11.1,1034,-7.2,0,0,1,0,0,20150101160000
2015-01-01 16:30:00,-3,74,7.4,1034,-6,0,0,1,0,0,20150101163000
2015-01-01 17:00:00,-3,69,5.6,1035,-5.2,0,0,1,0,0,20150101170000
2015-01-01 17:30:00,-3,74,7.4,1035,-6,0,0,0,0,0,20150101173000
2015-01-01 18:00:00,-3,74,5.6,1034,-5.2,0,0,0,0,0,20150101180000
2015-01-01 18:30:00,-3,80,5.6,1034,-5.2,0,0,0,0,0,20150101183000
2015-01-01 19:00:00,-3,80,5.6,1034,-5.2,0,0,0,0,0,20150101190000
2015-01-01 19:30:00,-3,74,5.6,1034,-5.2,0,0,0,0,0,20150101193000
2015-01-01 20:00:00,-3,80,5.6,1034,-5.2,0,0,0,0,0,20150101200000
2015-01-01 20:30:00,-3,80,7.4,1034,-6,0,0,0,0,0,20150101203000
2015-01-01 21:00:00,-3,86,5.6,1034,-5.2,0,0,0,0,0,20150101210000
2015-01-01 21:30:00,-3,86,3.7,1034,-5,0,1,0,0,0,20150101213000
2015-01-01 22:00:00,-3,86,9.3,1034,-6.7,0,0,0,0,0,20150101220000
2015-01-01 22:30:00,-3,93,7.4,1034,-6,0,0,0,0,0,20150101223000
2015-01-01 23:00:00,-3,93,5.6,1035,-5.2,0,0,0,0,0,20150101230000
2015-01-01 23:30:00,-3,93,5.6,1034,-5.2,0,0,0,0,0,20150101233000
2015-01-02 00:00:00,-3,93,7.4,1034,-6,0,0,0,0,0,20150102000000
2015-01-02 00:30:00,-3,93,7.4,1034,-6,0,0,0,0,0,20150102003000
2015-01-02 01:00:00,-3,93,3.7,1034,-5,0,0,0,0,0,20150102010000
2015-01-02 01:30:00,-3,93,5.6,1033,-5.2,0,0,0,0,0,20150102013000
2015-01-02 02:00:00,-3,93,5.6,1033,-5.2,0,0,0,0,0,20150102020000
2015-01-02 02:30:00,-3,93,7.4,1033,-6,0,0,0,0,0,20150102023000
2015-01-02 03:00:00,-3,93,5.6,1033,-5.2,0,0,0,0,0,20150102030000
2015-01-02 03:30:00,-3,93,9.3,1033,-6.7,0,0,0,0,0,20150102033000
2015-01-02 04:00:00,-3,93,7.4,1032,-6,0,0,0,0,0,20150102040000
2015-01-02 04:30:00,-3,93,7.4,1032,-6,1,0,0,0,0,20150102043000
2015-01-02 05:00:00,-3,100,7.4,1032,-6,1,0,0,0,0,20150102050000
2015-01-02 05:30:00,-3,100,5.6,1031,-5.2,1,0,0,0,0,20150102053000
2015-01-02 06:00:00,-3,100,7.4,1031,-6,1,0,0,0,0,20150102060000
2015-01-02 06:30:00,-3,100,5.6,1032,-5.2,1,0,0,0,0,20150102063000
2015-01-02 07:00:00,-3,100,7.4,1031,-6,1,0,0,0,0,20150102070000
2015-01-02 07:30:00,-3,100,5.6,1032,-5.2,1,0,0,0,0,20150102073000
2015-01-02 08:00:00,-3,100,5.6,1032,-5.2,1,0,0,0,0,20150102080000
2015-01-02 08:30:00,-3,100,5.6,1032,-5.2,0,0,0,0,0,20150102083000
2015-01-02 09:00:00,-3,100,7.4,1031,-6,0,0,0,0,0,20150102090000
2015-01-02 09:30:00,-3,100,7.4,1031,-6,0,0,0,0,0,20150102093000
2015-01-02 10:00:00,-2,100,11.1,1031,-6,0,0,0,0,0,20150102100000
2015-01-02 10:30:00,-2,100,11.1,1031,-6,0,0,0,0,0,20150102103000
2015-01-02 11:00:00,-2,100,9.3,1031,-5.5,0,0,0,0,0,20150102110000
2015-01-02 11:30:00,-1,93,9.3,1030,-4.3,0,0,0,0,0,20150102113000
2015-01-02 12:00:00,-1,93,11.1,1030,-4.8,0,0,0,0,0,20150102120000
2015-01-02 12:30:00,0,87,11.1,1029,-3.6,0,0,0,0,0,20150102123000
2015-01-02 13:00:00,0,87,11.1,1029,-3.6,0,0,0,0,0,20150102130000
2015-01-02 13:30:00,1,81,9.3,1028,-1.9,0,0,0,0,0,20150102133000
2015-01-02 14:00:00,0,87,9.3,1028,-3.1,0,0,0,0,0,20150102140000
2015-01-02 14:30:00,0,87,11.1,1028,-3.6,0,0,0,0,0,20150102143000
2015-01-02 15:00:00,1,81,11.1,1027,-2.4,0,0,0,0,0,20150102150000
2015-01-02 15:30:00,1,81,7.4,1027,-1.4,0,0,0,0,0,20150102153000
2015-01-02 16:00:00,0,87,5.6,1027,-1.8,0,0,0,0,0,20150102160000
2015-01-02 16:30:00,0,87,5.6,1027,-1.8,0,0,0,0,0,20150102163000
2015-01-02 17:00:00,0,87,5.6,1026,-1.8,0,0,0,0,0,20150102170000
2015-01-02 17:30:00,0,87,7.4,1026,-2.5,0,1,0,0,0,20150102173000
2015-01-02 18:00:00,0,93,9.3,1026,-3.1,0,1,0,0,0,20150102180000
2015-01-02 18:30:00,0,93,9.3,1026,-3.1,0,1,0,0,0,20150102183000
2015-01-02 19:00:00,0,100,13,1026,-4,0,1,0,0,0,20150102190000
2015-01-02 19:30:00,0,100,13,1026,-4,0,1,0,0,0,20150102193000
2015-01-02 20:00:00,0,100,11.1,1026,-3.6,0,0,0,0,0,20150102200000
2015-01-02 20:30:00,0,100,9.3,1026,-3.1,1,0,0,0,0,20150102203000
2015-01-02 21:00:00,1,93,14.8,1026,-3.1,1,1,0,0,0,20150102210000
2015-01-02 21:30:00,1,100,11.1,1026,-2.4,0,0,0,0,0,20150102213000
2015-01-02 22:00:00,1,100,7.4,1026,-1.4,0,0,0,0,0,20150102220000
2015-01-02 22:30:00,1,100,9.3,1026,-1.9,0,0,0,0,0,20150102223000
2015-01-02 23:00:00,1,100,14.8,1026,-3.1,0,0,0,0,0,20150102230000
2015-01-02 23:30:00,2,100,13,1026,-1.5,0,0,0,0,0,20150102233000
2015-01-03 00:00:00,4,93,22.2,1026,-0.4,0,0,0,0,0,20150103000000
2015-01-03 00:30:00,3,93,20.4,1026,-1.5,0,0,0,0,0,20150103003000
2015-01-03 01:00:00,3,87,25.9,1026,-2.1,0,0,0,0,0,20150103010000
2015-01-03 01:30:00,3,81,27.8,1026,-2.3,0,0,0,0,0,20150103013000
2015-01-03 02:00:00,2,87,22.2,1027,-3,0,0,0,0,0,20150103020000
2015-01-03 02:30:00,2,81,25.9,1027,-3.4,0,0,0,0,0,20150103023000
2015-01-03 03:00:00,3,81,27.8,1027,-2.3,0,0,0,0,0,20150103030000
2015-01-03 03:30:00,3,75,29.6,1027,-2.5,0,0,0,0,0,20150103033000
2015-01-03 04:00:00,3,75,27.8,1027,-2.3,0,0,0,0,0,20150103040000
2015-01-03 04:30:00,3,75,29.6,1027,-2.5,0,0,0,0,0,20150103043000
2015-01-03 05:00:00,3,70,27.8,1027,-2.3,0,0,0,0,0,20150103050000
2015-01-03 05:30:00,3,70,25.9,1027,-2.1,0,0,0,0,0,20150103053000
2015-01-03 06:00:00,3,70,24.1,1027,-1.9,0,0,0,0,0,20150103060000
2015-01-03 06:30:00,3,65,25.9,1028,-2.1,0,0,0,0,0,20150103063000
2015-01-03 07:00:00,3,65,27.8,1028,-2.3,0,0,0,0,0,20150103070000
2015-01-03 07:30:00,3,65,24.1,1028,-1.9,0,0,0,0,0,20150103073000
2015-01-03 08:00:00,3,65,14.8,1028,-0.7,0,0,0,0,0,20150103080000
2015-01-03 08:30:00,3,65,11.1,1028,0,0,0,0,0,0,20150103083000
2015-01-03 09:00:00,4,65,16.7,1028,0.3,0,0,0,0,0,20150103090000
2015-01-03 09:30:00,3,70,11.1,1028,0,0,0,0,0,0,20150103093000
2015-01-03 10:00:00,5,61,14.8,1028,1.8,0,0,0,0,0,20150103100000
2015-01-03 10:30:00,6,57,18.5,1028,2.5,0,0,0,0,0,20150103103000
2015-01-03 11:00:00,6,57,22.2,1027,2.1,0,0,0,0,0,20150103110000
2015-01-03 11:30:00,6,57,18.5,1027,2.5,0,0,0,0,0,20150103113000
2015-01-03 12:00:00,5,57,27.8,1027,0.3,0,0,0,0,0,20150103120000
2015-01-03 12:30:00,6,53,27.8,1026,1.6,0,0,0,0,0,20150103123000
2015-01-03 13:00:00,6,53,22.2,1026,2.1,0,0,0,0,0,20150103130000
2015-01-03 13:30:00,6,53,24.1,1025,1.9,0,0,0,0,0,20150103133000
2015-01-03 14:00:00,6,49,27.8,1025,1.6,0,0,0,0,0,20150103140000
2015-01-03 14:30:00,6,49,20.4,1024,2.3,0,0,0,0,0,20150103143000
2015-01-03 15:00:00,5,57,11.1,1024,2.5,0,0,0,0,0,20150103150000
2015-01-03 15:30:00,6,49,14.8,1023,3,0,0,0,0,0,20150103153000
2015-01-03 16:00:00,4,56,7.4,1023,2.1,0,0,0,0,0,20150103160000
2015-01-03 16:30:00,4,52,11.1,1022,1.2,0,0,0,0,0,20150103163000
2015-01-03 17:00:00,3,65,13,1022,-0.3,0,0,0,0,0,20150103170000
2015-01-03 17:30:00,4,65,13,1022,0.9,0,0,0,0,0,20150103173000
2015-01-03 18:00:00,3,75,14.8,1021,-0.7,0,0,0,0,0,20150103180000
2015-01-03 18:30:00,3,75,7.4,1020,1,0,0,0,0,0,20150103183000
2015-01-03 19:00:00,3,75,7.4,1019,1,0,0,0,0,0,20150103190000
2015-01-03 19:30:00,3,70,5.6,1019,1.6,0,0,0,0,0,20150103193000
2015-01-03 20:00:00,3,70,5.6,1018,1.6,0,0,0,0,0,20150103200000
2015-01-03 20:30:00,3,70,9.3,1018,0.5,0,1,1,0,0,20150103203000
2015-01-03 21:00:00,2,87,14.8,1018,-1.9,0,1,1,0,0,20150103210000
2015-01-03 21:30:00,2,87,13,1017,-1.5,0,1,1,0,0,20150103213000
2015-01-03 22:00:00,1,93,22.2,1017,-4.3,0,1,1,0,0,20150103220000
2015-01-03 22:30:00,1,100,11.1,1016,-2.4,0,1,0,0,0,20150103223000
2015-01-03 23:00:00,1,100,5.6,1015,-0.7,0,1,0,0,0,20150103230000
2015-01-03 23:30:00,1,100,3.7,1015,-1,0,0,1,0,0,20150103233000
2015-01-04 00:00:00,0,100,3.7,1014,-2,0,1,0,0,0,20150104000000
2015-01-04 00:30:00,0,100,5.6,1013,-1.8,0,1,0,0,0,20150104003000
2015-01-04 01:00:00,0,100,7.4,1013,-2.5,0,0,1,0,0,20150104010000
2015-01-04 01:30:00,0,100,5.6,1013,-1.8,0,0,1,0,0,20150104013000
2015-01-04 02:00:00,0,100,1.9,1013,-2,0,0,1,0,0,20150104020000
2015-01-04 02:30:00,0,100,1.9,1013,-2,0,0,1,0,0,20150104023000
2015-01-04 03:00:00,0,100,1.9,1012,-2,0,0,1,0,0,20150104030000
2015-01-04 03:30:00,0,100,1.9,1012,-2,0,0,1,0,0,20150104033000
2015-01-04 04:00:00,0,100,13,1012,-4,0,0,1,0,0,20150104040000
2015-01-04 04:30:00,0,100,7.4,1012,-2.5,0,0,1,0,0,20150104043000
2015-01-04 05:00:00,1,100,16.7,1013,-3.4,0,0,1,0,0,20150104050000
2015-01-04 05:30:00,1,100,27.8,1013,-4.9,0,0,0,0,0,20150104053000
2015-01-04 06:00:00,1,93,38.9,1013,-5.9,0,0,0,0,0,20150104060000
2015-01-04 06:30:00,1,93,25.9,1013,-4.7,0,0,0,0,0,20150104063000
2015-01-04 07:00:00,1,93,33.3,1014,-5.5,0,0,0,0,0,20150104070000
2015-01-04 07:30:00,1,93,42.6,1014,-6.2,0,0,0,0,0,20150104073000
2015-01-04 08:00:00,1,93,38.9,1015,-5.9,0,0,0,0,0,20150104080000
2015-01-04 08:30:00,2,87,40.7,1015,-4.8,0,0,0,0,0,20150104083000
2015-01-04 09:00:00,2,87,29.6,1015,-3.8,0,0,0,0,0,20150104090000
2015-01-04 09:30:00,2,87,24.1,1015,-3.2,0,0,0,0,0,20150104093000
2015-01-04 10:00:00,3,81,35.2,1016,-3,0,0,0,0,0,20150104100000
2015-01-04 10:30:00,3,81,37,1017,-3.1,0,0,0,0,0,20150104103000
2015-01-04 11:00:00,4,75,35.2,1017,-1.7,0,0,0,0,0,20150104110000
2015-01-04 11:30:00,4,75,40.7,1017,-2.1,0,0,0,0,0,20150104113000
2015-01-04 12:00:00,4,75,48.2,1017,-2.6,0,0,0,0,0,20150104120000
2015-01-04 12:30:00,4,75,48.2,1017,-2.6,0,0,0,0,0,20150104123000
2015-01-04 13:00:00,5,65,44.4,1017,-1,0,0,0,0,0,20150104130000
2015-01-04 13:30:00,5,65,38.9,1017,-0.6,0,0,0,0,0,20150104133000
2015-01-04 14:00:00,4,70,46.3,1017,-2.4,0,0,0,0,0,20150104140000
2015-01-04 14:30:00,5,65,50,1018,-1.3,0,0,0,0,0,20150104143000
2015-01-04 15:00:00,4,70,44.4,1018,-2.3,0,0,0,0,0,20150104150000
2015-01-04 15:30:00,4,65,44.4,1018,-2.3,0,0,0,0,0,20150104153000
2015-01-04 16:00:00,4,65,44.4,1018,-2.3,0,0,0,0,0,20150104160000
2015-01-04 16:30:00,3,70,35.2,1019,-3,0,0,0,0,0,20150104163000
2015-01-04 17:00:00,4,65,33.3,1019,-1.5,0,0,0,0,0,20150104170000
2015-01-04 17:30:00,3,65,37,1019,-3.1,0,0,0,0,0,20150104173000
2015-01-04 18:00:00,3,70,25.9,1019,-2.1,0,0,0,0,0,20150104180000
2015-01-04 18:30:00,3,70,35.2,1019,-3,0,0,0,0,0,20150104183000
2015-01-04 19:00:00,3,70,37,1019,-3.1,0,0,0,0,0,20150104190000
2015-01-04 19:30:00,2,70,37,1019,-4.5,0,0,0,0,0,20150104193000
2015-01-04 20:00:00,2,70,35.2,1019,-4.3,0,0,0,0,0,20150104200000
2015-01-04 20:30:00,2,70,40.7,1020,-4.8,0,0,0,0,0,20150104203000
2015-01-04 21:00:00,1,75,31.5,1020,-5.3,0,0,0,0,0,20150104210000
2015-01-04 21:30:00,1,75,24.1,1020,-4.5,0,0,0,0,0,20150104213000
2015-01-04 22:00:00,1,75,20.4,1020,-4,0,0,0,0,0,20150104220000
2015-01-04 22:30:00,0,80,18.5,1020,-5,0,0,0,0,0,20150104223000
2015-01-04 23:00:00,0,80,18.5,1020,-5,0,0,0,0,0,20150104230000
2015-01-04 23:30:00,0,80,20.4,1020,-5.3,0,0,0,0,0,20150104233000
2015-01-05 00:00:00,0,80,24.1,1020,-5.8,0,0,0,0,0,20150105000000
2015-01-05 00:30:00,1,75,25.9,1020,-4.7,0,0,0,0,0,20150105003000
2015-01-05 01:00:00,1,75,22.2,1021,-4.3,0,0,0,0,0,20150105010000
2015-01-05 01:30:00,1,75,20.4,1021,-4,0,0,0,0,0,20150105013000
2015-01-05 02:00:00,1,70,20.4,1021,-4,0,0,0,0,0,20150105020000
2015-01-05 02:30:00,0,75,24.1,1021,-5.8,0,0,0,0,0,20150105023000
2015-01-05 03:00:00,1,70,22.2,1022,-4.3,0,0,0,0,0,20150105030000
2015-01-05 03:30:00,0,75,18.5,1022,-5,0,0,0,0,0,20150105033000
2015-01-05 04:00:00,0,69,18.5,1022,-5,0,0,0,0,0,20150105040000
2015-01-05 04:30:00,0,69,22.2,1023,-5.5,0,0,0,0,0,20150105043000
2015-01-05 05:00:00,0,69,27.8,1023,-6.2,0,0,0,0,0,20150105050000
2015-01-05 05:30:00,0,69,27.8,1023,-6.2,0,0,0,0,0,20150105053000
2015-01-05 06:00:00,0,69,27.8,1023,-6.2,0,0,0,0,0,20150105060000
2015-01-05 06:30:00,0,69,24.1,1023,-5.8,0,0,0,0,0,20150105063000
2015-01-05 07:00:00,0,69,24.1,1024,-5.8,0,0,0,0,0,20150105070000
2015-01-05 07:30:00,-1,75,24.1,1024,-7,0,0,0,0,0,20150105073000
2015-01-05 08:00:00,-1,75,31.5,1024,-7.9,0,0,0,0,0,20150105080000
2015-01-05 08:30:00,0,69,24.1,1024,-5.8,0,0,0,0,0,20150105083000
2015-01-05 09:00:00,1,65,16.7,1024,-3.4,0,0,0,0,0,20150105090000
2015-01-05 09:30:00,1,65,31.5,1024,-5.3,0,0,0,0,0,20150105093000
2015-01-05 10:00:00,2,56,29.6,1024,-3.8,0,0,0,0,0,20150105100000
2015-01-05 10:30:00,2,56,27.8,1024,-3.6,0,0,0,0,0,20150105103000
2015-01-05 11:00:00,1,56,24.1,1024,-4.5,0,0,0,0,0,20150105110000
2015-01-05 11:30:00,2,56,16.7,1023,-2.2,0,0,0,0,0,20150105113000
2015-01-05 12:00:00,2,60,22.2,1023,-3,0,0,0,0,0,20150105120000
2015-01-05 12:30:00,3,56,16.7,1023,-1,0,0,0,0,0,20150105123000
2015-01-05 13:00:00,3,60,22.2,1022,-1.7,0,0,0,0,0,20150105130000
2015-01-05 13:30:00,2,70,24.1,1022,-3.2,0,0,0,0,0,20150105133000
2015-01-05 14:00:00,3,65,16.7,1022,-1,0,0,0,0,0,20150105140000
2015-01-05 14:30:00,2,81,24.1,1021,-3.2,0,1,0,0,0,20150105143000
2015-01-05 15:00:00,1,93,20.4,1021,-4,0,1,0,0,0,20150105150000
2015-01-05 15:30:00,1,93,20.4,1021,-4,0,1,1,0,0,20150105153000
2015-01-05 16:00:00,2,87,27.8,1020,-3.6,0,0,0,0,0,20150105160000
2015-01-05 16:30:00,2,87,35.2,1020,-4.3,0,0,0,0,0,20150105163000
2015-01-05 17:00:00,2,87,31.5,1020,-4,0,0,0,0,0,20150105170000
2015-01-05 17:30:00,2,87,37,1020,-4.5,0,0,0,0,0,20150105173000
2015-01-05 18:00:00,2,87,33.3,1020,-4.1,0,0,0,0,0,20150105180000
2015-01-05 18:30:00,2,87,31.5,1020,-4,0,0,0,0,0,20150105183000
2015-01-05 19:00:00,2,87,25.9,1020,-3.4,0,0,0,0,0,20150105190000
2015-01-05 19:30:00,2,87,16.7,1020,-2.2,0,0,0,0,0,20150105193000
2015-01-05 20:00:00,1,87,18.5,1020,-3.7,0,0,0,0,0,20150105200000
2015-01-05 20:30:00,2,81,22.2,1021,-3,0,0,0,0,0,20150105203000
2015-01-05 21:00:00,1,81,22.2,1021,-4.3,0,0,0,0,0,20150105210000
2015-01-05 21:30:00,1,81,20.4,1021,-4,0,0,0,0,0,20150105213000
2015-01-05 22:00:00,0,87,20.4,1021,-5.3,0,0,0,0,0,20150105220000
2015-01-05 22:30:00,0,87,16.7,1021,-4.7,0,0,0,0,0,20150105223000
2015-01-05 23:00:00,0,80,18.5,1021,-5,0,0,0,0,0,20150105230000
2015-01-05 23:30:00,-1,80,14.8,1022,-5.6,0,0,0,0,0,20150105233000
2015-01-06 00:00:00,0,75,16.7,1022,-4.7,0,0,0,0,0,20150106000000
2015-01-06 00:30:00,-1,80,18.5,1022,-6.2,0,0,0,0,0,20150106003000
2015-01-06 01:00:00,-1,75,18.5,1022,-6.2,0,0,0,0,0,20150106010000
2015-01-06 01:30:00,-1,69,22.2,1022,-6.8,0,0,0,0,0,20150106013000
2015-01-06 02:00:00,-2,74,14.8,1022,-6.8,0,0,0,0,0,20150106020000
2015-01-06 02:30:00,-2,74,18.5,1022,-7.5,0,0,0,0,0,20150106023000
2015-01-06 03:00:00,-2,74,22.2,1022,-8.1,0,0,0,0,0,20150106030000
2015-01-06 03:30:00,-2,74,20.4,1022,-7.8,0,0,0,0,0,20150106033000
2015-01-06 04:00:00,-3,74,16.7,1022,-8.4,0,0,0,0,0,20150106040000
2015-01-06 04:30:00,-2,69,9.3,1022,-5.5,0,0,0,0,0,20150106043000
2015-01-06 05:00:00,-3,80,16.7,1022,-8.4,0,0,0,0,0,20150106050000
2015-01-06 05:30:00,-3,74,13,1022,-7.6,0,0,0,0,0,20150106053000
2015-01-06 06:00:00,-4,80,11.1,1023,-8.4,0,0,0,0,0,20150106060000
2015-01-06 06:30:00,-3,74,14.8,1023,-8,0,0,0,0,0,20150106063000
2015-01-06 07:00:00,-3,80,14.8,1023,-8,0,0,0,0,0,20150106070000
2015-01-06 07:30:00,-2,74,16.7,1023,-7.2,0,0,0,0,0,20150106073000
2015-01-06 08:00:00,-2,74,16.7,1023,-7.2,0,0,0,0,0,20150106080000
2015-01-06 08:30:00,-1,69,16.7,1024,-5.9,0,0,0,0,0,20150106083000
2015-01-06 09:00:00,-1,69,14.8,1024,-5.6,0,0,0,0,0,20150106090000
2015-01-06 09:30:00,0,64,16.7,1024,-4.7,0,0,0,0,0,20150106093000
2015-01-06 10:00:00,1,60,13,1024,-2.8,0,0,0,0,0,20150106100000
2015-01-06 10:30:00,1,56,18.5,1024,-3.7,0,0,0,0,0,20150106103000
2015-01-06 11:00:00,2,56,20.4,1024,-2.7,0,0,0,0,0,20150106110000
2015-01-06 11:30:00,2,52,20.4,1024,-2.7,0,0,0,0,0,20150106113000
2015-01-06 12:00:00,2,48,16.7,1024,-2.2,0,0,0,0,0,20150106120000
2015-01-06 12:30:00,3,45,16.7,1024,-1,0,0,0,0,0,20150106123000
2015-01-06 13:00:00,3,41,14.8,1024,-0.7,0,0,0,0,0,20150106130000
2015-01-06 13:30:00,3,38,16.7,1024,-1,0,0,0,0,0,20150106133000
2015-01-06 14:00:00,3,38,14.8,1024,-0.7,0,0,0,0,0,20150106140000
2015-01-06 14:30:00,3,38,14.8,1024,-0.7,0,0,0,0,0,20150106143000
2015-01-06 15:00:00,2,52,16.7,1024,-2.2,0,0,0,0,0,20150106150000
2015-01-06 15:30:00,2,48,13,1024,-1.5,0,0,0,0,0,20150106153000
2015-01-06 16:00:00,0,55,11.1,1024,-3.6,0,0,0,0,0,20150106160000
2015-01-06 16:30:00,0,51,16.7,1025,-4.7,0,0,0,0,0,20150106163000
2015-01-06 17:00:00,-3,64,16.7,1025,-8.4,0,0,0,0,0,20150106170000
2015-01-06 17:30:00,-3,69,14.8,1025,-8,0,0,0,0,0,20150106173000
2015-01-06 18:00:00,-3,74,14.8,1026,-8,0,0,0,0,0,20150106180000
2015-01-06 18:30:00,-2,69,13,1027,-6.4,0,0,0,0,0,20150106183000
2015-01-06 19:00:00,-2,64,14.8,1027,-6.8,0,0,0,0,0,20150106190000
2015-01-06 19:30:00,-4,74,14.8,1028,-9.3,0,0,0,0,0,20150106193000
2015-01-06 20:00:00,-4,74,11.1,1028,-8.4,0,0,0,0,0,20150106200000
2015-01-06 20:30:00,-5,80,14.8,1029,-10.5,0,0,0,0,0,20150106203000
2015-01-06 21:00:00,-6,86,13,1029,-11.3,0,0,0,0,0,20150106210000
2015-01-06 21:30:00,-5,80,7.4,1029,-8.4,0,0,0,0,0,20150106213000
2015-01-06 22:00:00,-6,80,9.3,1030,-10.2,0,0,0,0,0,20150106220000
2015-01-06 22:30:00,-7,80,5.6,1030,-9.8,0,0,0,0,0,20150106223000
2015-01-06 23:00:00,-7,74,3.7,1030,-9,0,0,0,0,0,20150106230000
2015-01-06 23:30:00,-6,63,1.9,1030,-8,0,0,0,0,0,20150106233000
2015-01-07 00:00:00,-8,73,5.6,1031,-11,0,0,0,0,0,20150107000000
2015-01-07 00:30:00,-9,73,0,1031,-11,0,0,0,0,0,20150107003000
2015-01-07 01:00:00,-12,79,5.6,1031,-15.5,0,0,0,0,0,20150107010000
2015-01-07 01:30:00,-11,79,1.9,1031,-13,0,0,0,0,0,20150107013000
2015-01-07 02:00:00,-12,85,3.7,1031,-14,0,0,0,0,0,20150107020000
2015-01-07 02:30:00,-12,85,1.9,1032,-14,0,0,0,0,0,20150107023000
2015-01-07 03:00:00,-12,85,3.7,1032,-14,0,0,0,0,0,20150107030000
2015-01-07 03:30:00,-11,79,1.9,1032,-13,0,0,0,0,0,20150107033000
2015-01-07 04:00:00,-13,85,3.7,1033,-15,0,0,0,0,0,20150107040000
2015-01-07 04:30:00,-12,85,1.9,1033,-14,0,0,0,0,0,20150107043000
2015-01-07 05:00:00,-13,85,1.9,1033,-15,0,0,0,0,0,20150107050000
2015-01-07 05:30:00,-11,85,3.7,1033,-13,0,0,0,0,0,20150107053000
2015-01-07 06:00:00,-13,85,3.7,1033,-15,0,0,0,0,0,20150107060000
2015-01-07 06:30:00,-11,85,5.6,1034,-14.4,0,0,0,0,0,20150107063000
2015-01-07 07:00:00,-11,79,0,1034,-13,0,0,0,0,0,20150107070000
2015-01-07 07:30:00,-10,79,1.9,1034,-12,0,0,0,0,0,20150107073000
2015-01-07 08:00:00,-10,79,0,1034,-12,0,0,0,0,0,20150107080000
2015-01-07 08:30:00,-9,79,0,1035,-11,0,0,0,0,0,20150107083000
2015-01-07 09:00:00,-8,73,1.9,1035,-10,0,0,0,0,0,20150107090000
2015-01-07 09:30:00,-8,73,7.4,1035,-11.9,0,0,0,0,0,20150107093000
2015-01-07 10:00:00,-8,68,7.4,1035,-11.9,0,0,0,0,0,20150107100000
2015-01-07 10:30:00,-8,68,7.4,1035,-11.9,0,0,0,0,0,20150107103000
2015-01-07 11:00:00,-8,73,7.4,1036,-11.9,0,0,0,0,0,20150107110000
2015-01-07 11:30:00,-7,68,7.4,1035,-10.7,0,0,0,0,0,20150107113000
2015-01-07 12:00:00,-7,63,9.3,1035,-11.4,0,0,0,0,0,20150107120000
